study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
table,,,,0,10,10,19,,,,,8.0428354,,8.0293414,8.0428354,8.0428354,8.6967917,2.177777778,0.6471842,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
chart,,,,0,11,11,6,,,,,8.7111626,,8.6970442,8.7111626,8.7111626,9.461126,2.551851852,0.7436219,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
phone,,,,0,12,12,2,,,,,9.4756951,,9.4613008,9.4756951,9.4756951,9.9968144,3.062962963,0.5150998,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
case,,,,0,13,13,10,,,,,10.0111918,,9.9971178,10.0111918,10.0111918,10.5952567,3.585185185,0.5771847,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
vase,,,,0,14,14,16,,,,,10.608616,,10.5954621,10.608616,10.608616,11.1789245,2.914814815,0.5625599,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
marble,,,,0,15,15,3,,,,,11.192013,,11.1791393,11.192013,11.192013,11.57965,2.903703704,0.3815938,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
laptop,,,,0,16,16,5,,,,,11.5939181,,11.5799168,11.5939181,11.5939181,12.4448888,2.540740741,0.8446802,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
keys,,,,0,17,17,13,,,,,12.4590278,,12.4450901,12.4590278,12.4590278,13.2616573,3.72962963,0.7960018,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
board,,,,0,18,18,4,,,,,13.2752269,,13.2618913,13.2752269,13.2752269,13.7770593,3.462962963,0.4948523,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
cruise,,,,0,19,19,11,,,,,13.7917275,,13.7772323,13.7917275,13.7917275,14.8784789,3.140740741,1.0828325,,,,,,,,,,,,,,,710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,p_st_r,poster,old,,,,,0,0,0,9,14.8967649,,,,,,,,14.8854583,14.8967649,14.8967649,14.8967649,0.0104364,22.7252147,poster,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[7.8353969000745565],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,p_nc_l,pencil,new,,,,,0,1,1,16,22.7416969,,,,,,,,22.7270721,22.7416969,22.7416969,22.7416969,0.0043849,25.8088165,pencil,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.076904500136152],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_oo_,book,old,,,,,0,2,2,13,25.8235962,,,,,,,,25.8098217,25.8235962,25.8235962,25.8235962,0.0037616,28.4918301,book,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.6775408000685275],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_ru_s_,cruise,old,,,,,0,3,3,6,28.5065588,,,,,,,,28.4927551,28.5065588,28.5065588,28.5065588,0.0036548,31.9914552,cruise,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.4944068999029696],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,k_y_,keys,old,,,,,0,4,4,8,32.0062011,,,,,,,,31.9923325,32.0062011,32.0062011,32.0062011,0.0035606,34.3400974,keys,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.3438542999792844],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,v_s_,vase,new,,,,,0,5,5,17,34.3557688,,,,,,,,34.3407341,34.3557688,34.3557688,34.3557688,0.0024282,34.7062316,,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[0.3625702999997884],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_o_rd,board,old,,,,,0,6,6,10,34.7221674,,,,,,,,34.70726,34.7221674,34.7221674,34.7221674,0.0025126,37.7087534,board,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.998121100012213],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,ta_l_,table,new,,,,,0,7,7,15,37.7266229,,,,,,,,37.7098114,37.7266229,37.7266229,37.7266229,0.0046385,40.8231357,table,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.107899900060147],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,p_li_e,police,old,,,,,0,8,8,7,40.8384971,,,,,,,,40.8240144,40.8384971,40.8384971,40.8384971,0.0033562,43.8068264,police,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.97868449985981],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,p_s_r_,pastry,old,,,,,0,9,9,4,43.8210728,,,,,,,,43.8079002,43.8210728,43.8210728,43.8210728,0.0041592,47.7215726,pastry,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.909175799926743],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,T_hi_t,Tshirt,old,,,,,0,10,10,2,47.7373557,,,,,,,,47.7221987,47.7373557,47.7373557,47.7373557,0.00262,49.2224237,,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[1.4970682000275701],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,l_pt_p,laptop,old,,,,,0,11,11,0,49.2370377,,,,,,,,49.2232888,49.2370377,49.2370377,49.2370377,0.0034809,51.9378291,laptop,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.710668599931523],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,c_s_,case,old,,,,,0,12,12,5,51.9534315,,,,,,,,51.9385206,51.9534315,51.9534315,51.9534315,0.0025776,54.6060627,case,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.66424350021407],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_ha_t,chart,old,,,,,0,13,13,1,54.621855,,,,,,,,54.607177,54.621855,54.621855,54.621855,0.0044167,58.1036173,chart,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.4916838000062853],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,bo_t_e,bottle,new,,,,,0,14,14,18,58.1195446,,,,,,,,58.1042315,58.1195446,58.1195446,58.1195446,0.0024124,61.5698536,bottle,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.4627322999294847],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_a_bl_,marble,old,,,,,0,15,15,11,61.5855516,,,,,,,,61.5704946,61.5855516,61.5855516,61.5855516,0.0025637,65.019552,marble,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.445893600117415],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,c_s_io_,cushion,old,,,,,0,16,16,14,65.0350449,,,,,,,,65.0203261,65.0350449,65.0350449,65.0350449,0.0028879,68.6186725,cushion,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[3.595127300126478],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,c_m_ra,camera,new,,,,,0,17,17,19,68.6346418,,,,,,,,68.6192457,68.6346418,68.6346418,68.6346418,0.0027935,69.2522038,,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[0.6294692000374198],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_ho_e,phone,old,,,,,0,18,18,12,69.2676924,,,,,,,,69.2527515,69.2676924,69.2676924,69.2676924,0.0022955,73.2848747,phone,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[4.029390800045803],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,_ou_e,mouse,old,,,,,0,19,19,3,73.3006174,,,,,,,,73.2855115,73.3006174,73.3006174,73.3006174,0.0026545,76.2012365,mouse,[-0.05462962962962963],[-0.30277777777777776],[1],[0],[0],[2.91253750002943],['text_3'],710551,1,2024-11-07_23h48.51.974,word priming experiment,2024.1.5,None,2024-11-07 23h48.57.030127 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,old,0.933333333,,old-new,0.933333333,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,new,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
