study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test_routine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
pencil,,,,0,18,18,15,,,,,12.7379825,,12.7235469,12.7379825,12.7379825,13.2735697,2.225925926,0.5277828,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
laptop,,,,0,19,19,5,,,,,13.2866568,,13.2738208,13.2866568,13.2866568,13.7555011,2.225925926,0.462785,,,,,,,,,,,,,,,519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_oo_,book,old,,,,,0,0,0,13,13.7699798,,,,,,,,13.7604945,13.7699798,13.7699798,13.7699798,0.0078169,18.5036899,book,"[-0.1935185185185185, -0.008333333333333333]","[-0.30185185185185187, -0.3148148148148148]","[1, 1]","[0, 0]","[0, 0]","[0.12441229983232915, 4.73974179988727]",['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,p_nc_l,pencil,new,,,,,0,1,1,16,18.5191307,,,,,,,,18.5050245,18.5191307,18.5191307,18.5191307,0.0029087,21.4865387,pencil,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.9781855000182986],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,ta_l_,table,new,,,,,0,2,2,15,21.5021536,,,,,,,,21.4871939,21.5021536,21.5021536,21.5021536,0.0026182,24.2695371,table,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.7793458001688123],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,c_s_io_,cushion,old,,,,,0,3,3,14,24.285299,,,,,,,,24.2701045,24.285299,24.285299,24.285299,0.0023863,27.5357724,cushion,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.2628687999676913],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_ho_e,phone,old,,,,,0,4,4,12,27.5512721,,,,,,,,27.5363951,27.5512721,27.5512721,27.5512721,0.0025584,29.0522079,,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[1.512893300037831],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,p_s_r_,pastry,old,,,,,0,5,5,4,29.0679379,,,,,,,,29.0530601,29.0679379,29.0679379,29.0679379,0.0027725,31.9531573,pastry,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.8969491999596357],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_ou_e,mouse,old,,,,,0,6,6,3,31.9674347,,,,,,,,31.9541705,31.9674347,31.9674347,31.9674347,0.0039743,37.3843273,mouse,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[5.425802899990231],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,p_st_r,poster,old,,,,,0,7,7,9,37.4003718,,,,,,,,37.3849186,37.4003718,37.4003718,37.4003718,0.0024586,40.6343469,poster,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.2463140999898314],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_o_rd,board,old,,,,,0,8,8,10,40.6497316,,,,,,,,40.6351366,40.6497316,40.6497316,40.6497316,0.002903,43.7344926,board,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.0956940001342446],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,T_hi_t,Tshirt,old,,,,,0,9,9,2,43.7516881,,,,,,,,43.7354067,43.7516881,43.7516881,43.7516881,0.0038205,44.8850086,,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[1.145053599961102],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_a_bl_,marble,old,,,,,0,10,10,11,44.9018661,,,,,,,,44.8861993,44.9018661,44.9018661,44.9018661,0.0039921,48.0996712,marble,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.2091365000233054],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_ru_s_,cruise,old,,,,,0,11,11,6,48.1153706,,,,,,,,48.100321,48.1153706,48.1153706,48.1153706,0.0024656,51.4328904,cruise,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.329494000179693],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,v_s_,vase,new,,,,,0,12,12,17,51.4497802,,,,,,,,51.4338231,51.4497802,51.4497802,51.4497802,0.0036212,54.2503683,vase,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.8120810000691563],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,k_y_,keys,old,,,,,0,13,13,8,54.2655148,,,,,,,,54.2514503,54.2655148,54.2655148,54.2655148,0.0037311,56.4819686,keys,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.226382300024852],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,l_pt_p,laptop,old,,,,,0,14,14,0,56.4976547,,,,,,,,56.4827654,56.4976547,56.4976547,56.4976547,0.0028081,56.7660398,,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[0.27996869990602136],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,c_s_,case,old,,,,,0,15,15,5,56.7808366,,,,,,,,56.7668869,56.7808366,56.7808366,56.7808366,0.0033047,60.198057,case,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.4274846999906003],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,c_m_ra,camera,new,,,,,0,16,16,19,60.2138827,,,,,,,,60.1986672,60.2138827,60.2138827,60.2138827,0.0026559,63.81579,camera,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.6136755000334233],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,p_li_e,police,old,,,,,0,17,17,7,63.8311722,,,,,,,,63.8168742,63.8311722,63.8311722,63.8311722,0.004351,67.4164944,police,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[3.5944699000101537],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,bo_t_e,bottle,new,,,,,0,18,18,18,67.4427677,,,,,,,,67.4253953,67.4427677,67.4427677,67.4427677,0.0116306,70.4301536,bottle,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.994078300194815],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,_ha_t,chart,old,,,,,0,19,19,1,70.4458553,,,,,,,,70.430754,70.4458553,70.4458553,70.4458553,0.0026271,73.3811524,chart,[-0.008333333333333333],[-0.3148148148148148],[1],[0],[0],[2.9470269999001175],['text_3'],519220,1,2024-11-07_23h50.22.089,word priming experiment,2024.1.5,None,2024-11-07 23h50.27.239271 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,old,0.8,,old-new,-0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,new,1,,,,,,,,,,,,,,,,,,,,,,,,,
